,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
585,Dennis Smith Jr.,Por,G,24.35,37,17.3,36.0,18.1,19.0,64,0.656,162,0.451,27,0.222,0.434,0.474,5.6,2.4,7.5,3.6,30.2,1.22,0.32,1.38,8.4,101.8,109.7
586,Ish Smith,Cha,G,33.74,37,13.8,28.8,19.1,15.7,19,0.632,160,0.394,25,0.4,0.422,0.434,4.5,1.5,5.9,2.6,26.2,0.54,0.27,0.97,7.5,95.2,111.4
587,Ish Smith,Was,G,33.74,22,21.4,44.6,20.8,14.5,5,0.6,151,0.464,35,0.343,0.473,0.476,8.1,3.0,7.8,4.8,34.1,0.86,0.5,1.45,9.1,103.0,108.6
588,Jalen Smith,Pho,F-C,22.04,29,13.2,27.4,20.6,12.1,52,0.769,98,0.551,39,0.231,0.493,0.547,6.0,4.8,19.6,0.2,2.1,0.21,0.62,0.76,5.4,113.8,95.0
589,Jalen Smith,Ind,F-C,22.04,19,24.7,51.4,19.8,7.8,45,0.756,107,0.636,73,0.384,0.611,0.636,13.4,7.8,17.6,0.8,5.3,0.32,1.0,0.89,7.1,125.5,109.5
590,Xavier Sneed,Mem,F,20.0,2,3.9,8.0,10.7,0.0,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,,
591,Xavier Sneed,Uta,F,20.0,5,4.4,9.2,9.9,0.0,0,0.0,1,1.0,4,0.25,0.5,0.5,1.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,104.2,117.6
592,Tony Snell,Por,G,30.39,38,14.4,29.9,8.6,10.1,3,1.0,22,0.545,75,0.32,0.495,0.503,2.6,1.9,7.2,0.6,5.2,0.21,0.18,0.29,4.0,104.2,113.4
593,Tony Snell,Nor,G,30.39,11,20.9,43.5,11.8,11.1,0,0.0,12,0.5,44,0.409,0.589,0.589,6.0,2.6,7.0,0.5,3.0,0.55,0.18,0.64,3.8,108.4,107.0
594,Jaden Springer,Phi,G,19.52,2,2.8,5.8,16.1,50.0,0,0.0,1,1.0,0,0.0,1.0,1.0,1.0,1.0,19.9,0.0,0.0,0.0,1.0,0.5,0.0,,
595,Cassius Stanley,Det,G,22.62,9,17.2,35.9,15.6,10.6,10,1.0,29,0.517,17,0.235,0.457,0.516,5.8,2.1,6.6,0.4,3.9,0.56,0.22,0.67,3.9,101.3,107.0
596,Nik Stauskas,Mia,G,28.48,2,11.9,24.7,18.3,0.0,4,0.75,4,0.25,4,0.5,0.5,0.564,5.5,1.5,7.2,0.5,6.1,0.0,0.0,0.0,5.4,127.1,111.3
597,Nik Stauskas,Bos,G,28.48,6,2.5,5.2,23.0,12.7,2,0.5,0,0.0,6,0.333,0.5,0.509,1.2,0.0,0.0,0.2,9.5,0.0,0.0,0.17,0.0,,
598,Lance Stephenson,Atl,F,31.57,6,11.6,24.1,11.2,22.4,2,0.5,10,0.5,3,0.0,0.385,0.396,1.8,2.5,11.8,1.8,20.0,0.0,0.0,0.67,6.9,91.6,105.5
599,Lance Stephenson,Ind,F,31.57,35,19.1,39.7,23.9,16.4,67,0.791,198,0.52,83,0.289,0.495,0.533,9.5,2.9,8.3,3.7,29.3,0.6,0.09,1.74,9.8,105.6,107.0
600,Lamar Stevens,Cle,F,24.73,58,15.6,32.6,17.0,10.9,66,0.697,224,0.54,58,0.31,0.525,0.55,5.9,2.5,8.9,0.7,6.4,0.48,0.24,0.66,5.6,108.1,101.5
601,Isaiah Stewart,Det,F-C,20.86,66,26.1,54.3,14.7,14.1,97,0.701,426,0.535,36,0.222,0.519,0.543,8.3,8.7,18.1,1.1,6.5,0.33,1.12,1.26,6.6,112.2,103.9
602,Max Strus,Mia,G-F,26.01,64,23.2,48.4,18.3,8.8,50,0.78,115,0.557,421,0.397,0.587,0.599,10.4,3.0,7.3,1.4,8.9,0.41,0.23,0.84,6.1,113.9,105.6
603,Jalen Suggs,Orl,G,20.83,46,27.7,57.6,25.4,18.7,163,0.773,347,0.441,190,0.216,0.399,0.456,12.1,3.7,7.0,4.4,25.0,1.22,0.39,3.04,8.4,88.4,104.2
604,Craig Sword,Was,G,28.21,3,6.3,13.2,11.7,20.0,0,0.0,3,1.0,1,0.0,0.75,0.75,2.0,0.0,0.0,0.3,7.8,1.33,0.0,0.33,0.0,115.2,69.2
605,Keifer Sykes,Ind,G,28.25,31,18.3,38.1,17.4,14.3,17,0.882,100,0.42,90,0.3,0.434,0.456,5.8,1.5,4.4,2.0,15.0,0.39,0.13,1.06,5.7,93.7,112.2
606,Jae'Sean Tate,Hou,F,26.43,73,26.3,54.9,19.8,14.9,174,0.707,495,0.578,191,0.309,0.546,0.572,11.9,5.5,11.4,2.9,17.2,0.95,0.55,1.84,8.7,111.6,104.6
607,Jayson Tatum,Bos,F-G,24.08,72,36.2,75.5,32.0,10.9,443,0.86,870,0.522,621,0.353,0.525,0.577,27.0,8.0,11.9,4.3,20.8,0.94,0.64,2.88,10.8,113.0,102.2
608,Terry Taylor,Ind,G,22.52,28,20.8,43.2,15.7,8.0,43,0.674,151,0.682,26,0.346,0.658,0.669,9.4,5.4,14.4,1.2,8.9,0.36,0.29,0.61,7.6,139.4,111.0
609,Garrett Temple,Nor,G-F,35.9,56,18.9,39.4,13.8,11.8,41,0.683,107,0.486,175,0.32,0.482,0.5,5.4,2.5,7.3,1.3,9.4,0.75,0.41,0.71,5.5,102.7,108.0
610,Emanuel Terry,Pho,F,26.61,3,6.1,12.6,23.7,50.0,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,5.0,44.3,0.7,12.1,0.33,0.0,1.67,0.0,63.4,78.6
611,Tyrell Terry,Mem,G,21.51,2,1.6,3.2,13.2,0.0,0,0.0,1,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
612,Jon Teske,Mem,C,20.0,3,2.6,5.4,9.9,0.0,2,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.7,13.4,0.3,14.2,0.33,0.0,0.0,0.0,,
613,Daniel Theis,Hou,F-C,29.99,26,22.5,46.8,16.5,13.6,40,0.675,100,0.61,79,0.291,0.534,0.554,8.4,5.0,12.2,0.8,5.1,0.42,0.65,1.19,5.7,104.5,108.5
614,Daniel Theis,Bos,F-C,29.99,16,15.8,32.9,14.9,12.9,24,0.667,46,0.739,18,0.333,0.672,0.684,6.4,4.3,14.5,0.9,8.3,0.5,0.88,0.69,7.4,128.2,91.7
615,Brodric Thomas,Bos,G,25.17,10,4.8,9.9,19.3,19.3,4,0.5,7,0.714,8,0.125,0.433,0.447,1.5,0.7,7.9,0.8,24.0,0.0,0.1,0.4,7.9,94.9,99.5
616,Cam Thomas,Bro,G,20.47,62,18.1,37.6,22.2,8.8,94,0.84,317,0.524,169,0.266,0.48,0.518,8.8,2.4,7.3,1.2,10.0,0.52,0.13,0.82,6.5,102.8,112.1
617,Isaiah Thomas,Lal,G,33.15,4,25.3,52.6,20.8,10.2,11,0.727,17,0.412,22,0.227,0.372,0.422,9.3,2.0,4.2,1.5,8.1,0.0,0.5,1.25,4.8,85.7,108.3
618,Isaiah Thomas,Dal,G,33.15,1,13.3,27.7,27.1,0.0,0,0.0,5,0.6,3,0.0,0.375,0.375,6.0,0.0,0.0,4.0,51.2,0.0,0.0,0.0,0.0,101.5,118.4
619,Isaiah Thomas,Cha,G,33.15,12,13.3,27.7,26.8,6.9,11,0.909,47,0.489,42,0.381,0.528,0.554,8.7,1.3,5.3,1.6,18.8,0.5,0.17,0.58,7.9,111.0,110.6
620,Matt Thomas,Chi,G,27.66,40,11.5,23.9,14.5,5.3,20,0.8,43,0.465,91,0.385,0.541,0.564,4.0,1.3,6.1,0.5,5.8,0.2,0.08,0.2,4.8,112.3,114.0
621,Klay Thompson,Gol,G,32.14,29,28.9,60.1,28.7,6.9,45,0.911,239,0.464,255,0.365,0.507,0.527,18.7,3.9,7.3,2.8,16.1,0.55,0.59,1.31,8.2,104.9,107.1
622,Tristan Thompson,Sac,C-F,31.05,30,15.2,31.6,19.4,14.1,60,0.533,150,0.5,1,1.0,0.507,0.521,6.2,5.4,19.2,0.6,5.9,0.37,0.4,0.97,7.2,109.2,105.1
623,Tristan Thompson,Ind,C-F,31.05,4,16.4,34.2,20.6,12.7,8,0.375,24,0.542,0,0.0,0.542,0.527,7.3,4.5,15.2,0.5,4.7,0.0,0.5,1.0,6.2,102.9,108.7
624,Tristan Thompson,Chi,C-F,31.05,18,16.5,34.3,14.3,10.4,38,0.553,67,0.567,2,0.0,0.551,0.566,5.4,4.7,15.9,0.7,5.9,0.61,0.28,0.56,6.3,121.0,103.6
625,JT Thor,Cha,F,19.6,29,8.5,17.7,11.9,11.6,16,0.625,28,0.607,26,0.269,0.509,0.532,2.2,1.4,8.6,0.6,9.4,0.28,0.34,0.28,5.8,112.1,106.9
626,Matisse Thybulle,Phi,G-F,25.08,61,25.6,53.3,9.6,11.1,43,0.791,144,0.674,134,0.313,0.576,0.596,5.8,2.3,5.0,1.1,5.9,1.74,1.1,0.61,3.8,116.0,103.6
627,Killian Tillie,Mem,F-C,24.07,36,12.8,26.7,12.8,9.1,8,0.625,41,0.39,86,0.314,0.445,0.452,3.3,1.7,6.8,0.6,5.9,0.64,0.42,0.36,4.7,100.9,100.5
628,Xavier Tillman,Mem,F,23.22,48,12.7,26.4,16.5,13.1,61,0.656,146,0.527,40,0.225,0.487,0.519,4.6,3.1,12.6,1.0,10.4,0.94,0.31,0.67,7.6,110.9,100.9
629,Isaiah Todd,Was,F,20.46,10,4.1,8.6,22.3,4.8,6,0.333,6,0.167,11,0.364,0.412,0.407,1.6,1.0,13.4,0.3,10.3,0.2,0.2,0.1,7.6,91.5,111.9
630,Obi Toppin,Nyk,F,24.08,67,15.6,32.4,20.1,10.3,102,0.735,256,0.66,128,0.258,0.569,0.597,7.6,3.5,12.1,0.9,10.3,0.31,0.42,0.73,7.4,117.9,104.2
631,Juan Toscano-Anderson,Gol,F,28.98,70,13.5,28.2,14.8,19.9,70,0.571,143,0.587,84,0.31,0.542,0.555,4.1,2.4,9.7,1.7,17.8,0.66,0.23,0.91,7.6,106.3,97.9
632,Karl-Anthony Towns,Min,C-F,26.38,70,33.5,69.7,27.7,14.1,446,0.825,795,0.582,342,0.406,0.591,0.642,24.4,9.8,15.5,3.7,18.3,1.0,1.13,3.11,11.5,121.1,102.1
633,Gary Trent Jr.,Tor,G-F,23.2,64,34.7,72.3,21.9,5.7,191,0.843,482,0.442,503,0.38,0.507,0.543,18.1,2.8,4.3,2.0,8.9,1.81,0.27,1.02,5.4,113.7,109.2
634,P.J. Tucker,Mia,F,36.91,69,28.0,58.3,11.8,12.7,59,0.729,230,0.539,190,0.416,0.577,0.592,7.7,5.4,10.9,2.1,10.6,0.81,0.22,0.94,6.3,120.4,102.9
635,Rayjon Tucker,Den,G,24.52,3,9.8,20.3,5.6,0.0,4,0.75,0,0.0,2,0.5,0.75,0.798,2.0,1.3,7.6,1.3,16.6,0.33,0.0,0.0,6.1,188.7,104.7
636,Myles Turner,Ind,C-F,26.02,42,29.4,61.2,17.1,10.9,105,0.752,210,0.662,183,0.333,0.587,0.615,12.9,7.1,13.4,1.0,5.2,0.67,2.81,1.29,6.1,117.7,107.8
637,Jonas Valanciunas,Nor,C,29.9,70,30.8,64.1,24.0,14.3,277,0.819,752,0.58,156,0.359,0.573,0.615,18.1,11.6,20.8,2.6,13.9,0.59,0.84,2.46,10.6,117.8,101.1
638,Denzel Valentine,Cle,G,28.37,22,9.3,19.3,15.6,13.9,0,0.0,18,0.278,44,0.409,0.516,0.516,2.9,1.7,10.3,0.5,7.6,0.32,0.0,0.45,5.8,100.1,102.9
639,Denzel Valentine,Uta,G,28.37,2,9.3,19.3,14.2,33.3,0,0.0,1,1.0,3,0.333,0.625,0.625,2.5,2.0,11.8,0.0,0.0,0.5,0.0,1.0,0.0,75.2,93.0
640,Jarred Vanderbilt,Min,F,23.0,69,25.5,53.2,11.1,14.3,124,0.661,334,0.605,13,0.154,0.591,0.613,7.1,8.6,18.0,1.3,6.9,1.35,0.62,0.97,6.7,128.5,101.9
641,Fred VanVleet,Tor,G,28.1,62,37.8,78.8,23.6,12.3,208,0.87,437,0.442,603,0.383,0.519,0.557,20.3,4.5,6.5,6.7,26.9,1.65,0.53,2.56,9.0,115.5,108.0
642,Devin Vassell,San,G-F,21.6,66,27.0,56.3,18.7,6.7,87,0.828,358,0.494,345,0.351,0.51,0.532,12.0,4.3,8.3,1.8,9.3,1.02,0.62,0.8,6.7,108.3,108.2
643,Gabe Vincent,Mia,G,25.8,64,23.7,49.4,17.9,15.7,52,0.808,184,0.5,307,0.362,0.526,0.544,8.7,1.9,4.5,3.1,19.4,0.94,0.19,1.5,6.3,105.7,102.5
644,Nikola Vucevic,Chi,C,31.44,69,33.5,69.8,24.5,10.0,117,0.752,787,0.544,318,0.321,0.526,0.54,18.1,11.2,18.8,3.2,15.1,1.0,1.01,1.87,10.3,108.6,104.6
645,Dean Wade,Cle,F-C,25.36,51,19.2,40.0,11.1,6.5,30,0.667,75,0.64,142,0.359,0.574,0.584,5.3,2.9,8.4,1.0,7.4,0.57,0.14,0.31,5.2,122.0,103.1
646,Franz Wagner,Orl,F,20.6,77,31.5,65.5,21.2,10.0,219,0.863,704,0.51,269,0.357,0.517,0.559,15.5,4.6,7.8,3.0,15.6,0.88,0.44,1.55,7.6,110.7,109.9
647,Moritz Wagner,Orl,F-C,24.93,58,14.2,29.7,23.5,10.7,117,0.812,172,0.657,177,0.322,0.569,0.614,8.5,3.4,12.5,1.3,15.3,0.29,0.22,0.83,9.4,117.3,100.6
648,Ish Wainright,Pho,F,27.55,41,7.0,14.7,13.4,13.4,10,0.5,31,0.452,42,0.262,0.418,0.426,1.6,1.0,8.0,0.3,4.6,0.27,0.15,0.29,4.5,92.6,97.2
649,Lonnie Walker IV,San,G-F,23.3,66,23.0,47.9,23.6,8.1,138,0.775,393,0.483,330,0.315,0.479,0.51,12.1,2.5,5.7,2.2,13.3,0.59,0.27,1.05,7.0,102.8,111.6
650,Kemba Walker,Nyk,G,31.9,37,25.6,53.4,20.8,10.7,71,0.845,171,0.444,199,0.367,0.501,0.537,11.6,3.0,6.2,3.5,22.2,0.7,0.19,1.3,7.7,111.9,111.4
651,MJ Walker,Pho,G,24.01,2,4.2,8.8,20.6,0.0,0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,0.5,6.4,0.5,13.1,1.0,0.0,0.0,0.0,17.6,86.6
652,Tyrone Wallace,Nor,G,27.81,6,12.5,26.0,13.9,8.3,5,0.2,12,0.417,8,0.25,0.4,0.383,2.8,1.3,5.9,0.2,1.8,0.5,0.17,0.33,2.9,74.7,105.9
653,Derrick Walton Jr.,Det,G,27.0,3,36.1,75.1,15.4,28.4,4,1.0,13,0.231,13,0.231,0.288,0.342,6.3,3.3,5.0,7.0,26.4,2.33,1.33,3.67,5.8,76.9,109.5
654,Brad Wanamaker,Ind,G,32.69,22,13.3,27.7,15.3,22.0,22,0.909,55,0.4,17,0.235,0.389,0.465,3.5,1.6,6.6,2.2,21.5,0.23,0.27,1.05,6.9,96.8,105.5
655,Brad Wanamaker,Was,G,32.69,1,27.1,56.5,10.4,0.0,3,1.0,5,0.4,0,0.0,0.4,0.554,7.0,4.0,8.1,7.0,34.0,2.0,0.0,0.0,8.6,147.5,102.2
656,Duane Washington Jr.,Ind,G,22.02,43,20.0,41.7,22.6,11.5,51,0.745,189,0.429,189,0.365,0.488,0.508,9.5,1.7,4.6,1.9,13.8,0.49,0.05,1.21,6.3,99.0,113.8
657,P.J. Washington,Cha,F,23.61,60,27.0,56.3,15.8,12.4,74,0.716,205,0.595,290,0.366,0.568,0.583,10.3,5.3,10.3,2.3,11.3,0.87,0.92,1.25,7.4,114.1,107.7
658,Yuta Watanabe,Tor,G-F,27.47,36,11.7,24.4,16.9,11.4,37,0.568,56,0.482,75,0.36,0.515,0.53,4.3,2.4,10.9,0.5,6.3,0.22,0.44,0.53,5.9,106.2,104.8
659,Lindy Waters III,Okc,F,24.68,21,18.5,38.6,16.5,6.7,1,1.0,21,0.667,117,0.359,0.558,0.56,7.4,2.8,7.7,0.9,7.5,0.71,0.33,0.48,5.7,107.9,107.3
660,Tremont Waters,Tor,G,24.22,2,20.9,43.5,16.4,25.0,0,0.0,3,0.333,9,0.222,0.333,0.333,4.0,2.0,5.2,3.5,21.8,2.0,0.0,2.0,5.8,73.7,107.1
661,Tremont Waters,Was,G,24.22,1,8.5,17.7,10.5,0.0,0,0.0,2,0.5,0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.5,89.8
662,Trendon Watford,Por,F,21.39,48,18.1,37.7,17.5,12.5,94,0.755,229,0.581,38,0.237,0.549,0.59,7.6,4.1,12.5,1.7,14.5,0.54,0.58,0.92,8.3,119.0,104.9
663,Paul Watson,Okc,G,27.25,9,17.4,36.2,11.0,10.0,2,0.5,9,0.667,26,0.231,0.429,0.432,3.4,3.0,8.9,0.9,7.2,0.33,0.33,0.44,4.8,91.3,109.4
664,Quinndary Weatherspoon,Gol,G,25.55,9,7.5,15.7,16.2,11.9,5,1.0,16,0.688,4,0.25,0.625,0.676,3.3,1.6,11.2,0.4,8.9,0.11,0.11,0.33,6.8,125.3,87.0
665,Russell Westbrook,Lal,G,33.38,75,34.4,71.6,27.3,17.4,381,0.669,926,0.483,257,0.292,0.473,0.509,18.3,7.5,11.6,7.1,31.8,0.96,0.25,3.8,11.5,101.7,107.1
666,Coby White,Chi,G,22.12,57,27.4,57.1,19.9,9.1,85,0.859,277,0.505,327,0.382,0.542,0.568,12.8,3.0,6.2,2.9,15.3,0.46,0.19,1.12,7.0,112.1,109.5
667,Derrick White,San,G,27.75,49,30.3,63.2,20.6,12.0,160,0.869,312,0.519,258,0.314,0.497,0.551,14.4,3.5,6.1,5.6,25.1,1.0,0.86,1.78,8.7,113.9,109.3
668,Derrick White,Bos,G,27.75,21,27.5,57.3,18.6,10.7,56,0.875,100,0.49,93,0.258,0.44,0.503,10.4,3.3,6.4,3.7,19.0,0.67,0.71,1.24,7.3,108.7,102.6
669,Hassan Whiteside,Uta,C,32.8,60,18.1,37.7,16.8,12.2,149,0.624,302,0.649,0,0.0,0.649,0.66,8.1,7.6,23.1,0.4,3.0,0.37,1.5,0.85,6.4,131.5,93.6
670,Joe Wieskamp,San,G-F,22.61,24,6.7,13.9,14.7,3.6,9,0.556,12,0.5,38,0.342,0.51,0.519,2.3,0.4,2.9,0.3,5.6,0.13,0.13,0.08,3.9,109.8,113.2
671,Aaron Wiggins,Okc,G-F,23.24,48,24.1,50.3,15.0,12.4,77,0.74,187,0.567,131,0.313,0.527,0.557,8.2,3.5,7.5,1.3,8.2,0.63,0.21,1.04,5.5,108.5,109.0
672,Andrew Wiggins,Gol,F,27.1,69,31.9,66.4,23.2,9.0,221,0.638,592,0.512,376,0.386,0.538,0.555,17.1,4.5,7.7,2.2,10.9,1.07,0.71,1.52,6.9,108.7,105.4
673,Lindell Wigginton,Mil,G,24.01,16,7.9,16.5,17.5,15.4,20,0.55,18,0.5,17,0.412,0.557,0.571,3.1,1.1,7.1,0.6,9.7,0.25,0.06,0.5,6.4,105.2,107.3
674,Robert Williams III,Bos,C-F,24.46,61,29.6,61.6,11.5,13.4,90,0.722,367,0.738,1,0.0,0.736,0.745,10.0,9.6,17.6,2.0,9.9,0.92,2.2,1.03,7.8,149.4,100.3
675,Brandon Williams,Por,G,22.36,19,26.7,55.7,26.9,14.8,83,0.687,143,0.448,90,0.289,0.442,0.488,13.8,3.2,6.5,3.7,22.2,1.05,0.42,2.47,8.2,97.4,112.2
676,Grant Williams,Bos,F,23.34,72,24.1,50.3,12.6,11.3,88,0.898,161,0.565,241,0.415,0.6,0.636,7.8,3.5,7.8,1.0,6.0,0.47,0.71,0.78,5.0,122.7,101.2
677,Kenrich Williams,Okc,G-F,27.33,49,21.9,45.6,15.6,11.9,55,0.545,196,0.536,121,0.339,0.525,0.532,7.4,4.5,10.5,2.2,15.4,0.9,0.2,0.94,7.6,111.7,107.4
678,Lou Williams,Atl,G,35.43,54,14.4,29.9,21.6,10.7,72,0.861,212,0.41,99,0.364,0.453,0.502,6.4,1.6,6.0,1.9,18.9,0.52,0.06,0.76,7.5,105.4,112.3
679,Patrick Williams,Chi,F,20.6,12,22.3,46.5,10.4,9.5,12,0.583,36,0.556,16,0.438,0.587,0.594,5.7,3.7,9.2,0.5,2.9,0.67,0.42,0.5,3.9,117.6,109.9
680,Ziaire Williams,Mem,F,20.55,57,21.2,44.1,14.3,9.0,40,0.75,155,0.652,210,0.305,0.54,0.554,7.4,2.0,5.0,1.0,6.2,0.56,0.19,0.67,4.6,111.2,106.6
681,D.J. Wilson,Tor,F,26.11,4,13.5,28.2,16.9,9.3,10,0.8,13,0.846,2,0.0,0.733,0.773,7.5,4.0,16.0,1.3,14.5,1.25,0.25,0.5,10.0,148.9,94.2
682,Dylan Windler,Cle,G-F,25.52,47,9.3,19.3,11.9,13.6,18,0.833,27,0.556,67,0.313,0.495,0.53,2.3,1.8,10.9,0.7,9.6,0.3,0.06,0.34,6.1,110.7,101.1
683,Justise Winslow,Lac,F-G,26.01,37,13.0,27.0,17.9,18.5,41,0.61,112,0.518,29,0.172,0.465,0.49,4.2,3.6,14.4,1.4,15.7,0.57,0.49,0.97,8.5,98.3,100.7
684,Justise Winslow,Por,F-G,26.01,11,26.8,55.9,20.3,8.6,25,0.56,79,0.468,37,0.27,0.448,0.465,10.7,6.3,12.8,2.9,16.7,1.27,0.64,1.09,8.7,103.9,110.8
685,Cassius Winston,Was,G,24.09,5,5.4,11.3,12.9,12.7,2,1.0,1,1.0,5,0.4,0.667,0.727,2.0,0.0,0.0,1.0,25.4,0.0,0.0,0.2,0.0,143.2,94.6
686,Robert Woodard II,Sac,F,22.52,12,3.5,7.3,18.1,5.6,2,1.0,12,0.083,4,0.25,0.156,0.207,0.6,0.9,14.1,0.3,9.0,0.08,0.08,0.08,6.2,,
687,Christian Wood,Hou,F,26.51,68,30.8,64.1,23.3,11.0,332,0.623,542,0.57,336,0.39,0.576,0.595,17.9,10.1,18.0,2.3,12.3,0.78,0.97,1.85,9.7,114.0,107.6
688,McKinley Wright IV,Min,G,23.43,3,2.9,6.0,19.4,25.0,0,0.0,1,1.0,2,0.5,0.833,0.833,1.7,0.0,0.0,0.3,18.6,0.0,0.0,0.33,0.0,,
689,Delon Wright,Atl,G,29.93,72,18.7,39.0,10.5,13.9,57,0.86,149,0.51,105,0.39,0.541,0.58,4.5,2.8,8.3,2.5,16.9,1.15,0.25,0.63,6.8,125.5,112.4
690,Moses Wright,Lac,F,23.27,1,1.5,3.1,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,1.0,81.1,0.0,0.0,0.0,0.0,,
691,Thaddeus Young,San,F,33.78,26,14.2,29.7,19.1,17.9,22,0.455,123,0.602,5,0.0,0.578,0.574,6.1,3.6,13.2,2.3,22.8,0.88,0.27,1.15,10.4,113.7,103.7
692,Thaddeus Young,Tor,F,33.78,20,17.7,37.0,16.7,13.0,17,0.412,82,0.488,31,0.452,0.54,0.535,6.5,4.2,12.8,1.6,12.7,1.05,0.5,0.9,8.0,111.0,102.6
693,Trae Young,Atl,G,23.53,71,34.8,72.5,34.4,14.5,511,0.904,870,0.511,567,0.381,0.535,0.602,28.2,3.7,5.9,9.6,46.4,1.01,0.1,3.97,11.5,119.1,114.4
694,Omer Yurtseven,Mia,C,23.78,52,12.3,25.7,20.2,13.4,57,0.632,219,0.553,8,0.125,0.54,0.557,5.4,5.3,24.2,0.9,11.8,0.29,0.37,0.75,9.6,114.0,93.7
695,Cody Zeller,Por,F-C,29.49,27,13.1,27.4,15.9,14.6,49,0.776,86,0.593,4,0.0,0.567,0.627,5.2,4.6,19.3,0.8,9.3,0.3,0.22,0.7,8.2,128.5,101.3
696,Ivica Zubac,Lac,C,25.04,71,24.4,50.8,16.7,16.6,214,0.738,452,0.619,0,0.0,0.619,0.657,10.1,8.3,17.9,1.5,9.6,0.51,1.0,1.54,8.2,126.1,100.1
697,Moses Wright,Dal,F,23.27,2,2.7,5.6,37.0,0.0,1,1.0,3,0.333,1,0.0,0.25,0.338,1.5,0.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,,
698,Jeff Dowtin,Orl,G,24.89,4,19.3,40.3,13.4,16.8,2,1.0,12,0.333,7,0.143,0.289,0.327,3.3,2.8,7.5,1.8,12.4,1.25,0.0,1.0,5.3,85.1,112.6
699,Larry Nance Jr.,Nor,F-C,29.25,3,19.5,40.6,12.4,5.9,2,1.0,13,0.615,2,0.5,0.633,0.661,7.0,5.0,14.1,0.3,2.5,0.0,1.67,0.33,4.5,132.3,108.5
700,Braxton Key,Det,F,25.13,4,18.0,37.4,19.6,12.2,2,0.5,20,0.35,8,0.375,0.411,0.416,6.0,4.3,12.8,0.3,2.1,0.75,1.5,1.0,4.4,83.0,100.6
701,Greg Monroe,Uta,F-C,31.83,2,10.8,22.4,12.4,0.0,7,0.571,3,0.667,0,0.0,0.667,0.658,4.0,3.0,15.3,1.5,18.6,0.0,0.5,0.0,9.7,169.0,91.9
702,Didi Louzada,Por,G,20.0,1,11.5,24.0,22.5,0.0,0,0.0,1,1.0,5,0.2,0.417,0.417,5.0,2.0,9.5,0.0,0.0,0.0,1.0,0.0,0.0,103.7,116.5
